Sequence	Cluster	Representative	Copies
solenopsis_invicta_NC_052665.1:22742704-22764479	123	True	10
solenopsis_invicta_NC_052666.1:11014619-11036394	123	False	10
solenopsis_invicta_NC_052666.1:4003076-4024851	123	False	10
solenopsis_invicta_NC_052667.1:16684564-16706339	123	False	10
solenopsis_invicta_NC_052667.1:18119598-18141373	123	False	10
solenopsis_invicta_NC_052668.1:10420919-10442694	123	False	10
solenopsis_invicta_NC_052668.1:28235465-28257240	123	False	10
solenopsis_invicta_NC_052671.1:25733565-25755340	123	False	10
solenopsis_invicta_NC_052673.1:164394-186169	123	False	10
solenopsis_invicta_NC_052674.1:12037214-12058989	123	False	10
bombus_bifarius_NW_022884648.1:3279-23903	454	False	10
bombus_bifarius_NW_022884861.1:4324-18143	454	False	10
bombus_bifarius_NW_022885495.1:9489-20850	454	False	10
bombus_bifarius_NW_022885495.1:1-18146	454	False	10
bombus_vancouverensis_nearcticus_NW_022882249.1:1-13897	454	False	10
bombus_vancouverensis_nearcticus_NW_022882269.1:5423-24771	454	False	10
bombus_vancouverensis_nearcticus_NW_022882467.1:4629-25486	454	True	10
bombus_vancouverensis_nearcticus_NW_022882468.1:1-18670	454	False	10
bombus_vancouverensis_nearcticus_NW_022882469.1:1-13264	454	False	10
bombus_vancouverensis_nearcticus_NW_022882858.1:3262-19003	454	False	10
harpegnathos_saltator_NW_020229960.1:1-14057	256	False	8
harpegnathos_saltator_NW_020230076.1:1-12903	256	False	8
harpegnathos_saltator_NW_020230076.1:1-13224	256	False	8
harpegnathos_saltator_NW_020230144.1:1-12156	256	False	8
harpegnathos_saltator_NW_020230411.1:26907-48367	256	True	8
harpegnathos_saltator_NW_020230560.1:663929-678664	256	False	8
harpegnathos_saltator_NW_020230560.1:664250-678664	256	False	8
harpegnathos_saltator_NW_020230577.1:1-13014	256	False	8
monomorium_pharaonis_NC_050467.1:15437447-15459573	14	True	7
monomorium_pharaonis_NC_050473.1:23068164-23090287	14	False	7
monomorium_pharaonis_NC_050473.1:23069442-23089954	14	False	7
monomorium_pharaonis_NC_050475.1:9476740-9498551	14	False	7
monomorium_pharaonis_NW_023415643.1:63505-84437	14	False	7
monomorium_pharaonis_NW_023415834.1:44008-66134	14	False	7
monomorium_pharaonis_NW_023415910.1:1-16946	14	False	7
harpegnathos_saltator_NW_020230045.1:578-22269	172	True	7
harpegnathos_saltator_NW_020230338.1:1-16607	172	False	7
harpegnathos_saltator_NW_020230463.1:2868-17647	172	False	7
harpegnathos_saltator_NW_020230484.1:15975-30417	172	False	7
harpegnathos_saltator_NW_020230484.1:16179-30417	172	False	7
harpegnathos_saltator_NW_020230519.1:139179-160870	172	False	7
harpegnathos_saltator_NW_020230603.1:1-13233	172	False	7
bombus_bifarius_NW_022884557.1:1-11513	264	False	7
bombus_bifarius_NW_022885339.1:1-13105	264	False	7
bombus_bifarius_NW_022885410.1:1-14875	264	False	7
bombus_bifarius_NW_022885411.1:1-12765	264	False	7
bombus_vancouverensis_nearcticus_NW_022882383.1:30237-42854	264	False	7
bombus_vancouverensis_nearcticus_NW_022882384.1:14074-35507	264	True	7
bombus_vancouverensis_nearcticus_NW_022882514.1:51423-70215	264	False	7
harpegnathos_saltator_NW_020230075.1:6144-27835	173	True	5
harpegnathos_saltator_NW_020230318.1:1-16461	173	False	5
harpegnathos_saltator_NW_020230579.1:1-13541	173	False	5
harpegnathos_saltator_NW_020230579.1:1-14759	173	False	5
harpegnathos_saltator_NW_020230623.1:29116-44079	173	False	5
bombus_bifarius_NW_022884559.1:1-11488	263	False	4
bombus_vancouverensis_nearcticus_NW_022882137.1:16459-37892	263	True	4
bombus_vancouverensis_nearcticus_NW_022882137.1:34102-45802	263	False	4
bombus_vancouverensis_nearcticus_NW_022882137.1:1-20247	263	False	4
bombus_bifarius_NW_022884848.1:1-14851	449	False	4
bombus_bifarius_NW_022885480.1:3762-20552	449	False	4
bombus_bifarius_NW_022885480.1:1-12867	449	False	4
bombus_bifarius_NW_022885481.1:128-20985	449	True	4
bombus_bifarius_NW_022885323.1:1-11880	450	False	4
bombus_bifarius_NW_022885541.1:305-21162	450	True	4
bombus_vancouverensis_nearcticus_NW_022882515.1:1-20326	450	False	4
bombus_vancouverensis_nearcticus_NW_022882515.1:1-19735	450	False	4
bombus_bifarius_NW_022885496.1:1-12343	451	False	4
bombus_vancouverensis_nearcticus_NW_022882249.1:5228-26085	451	True	4
bombus_vancouverensis_nearcticus_NW_022882401.1:44430-58075	451	False	4
bombus_vancouverensis_nearcticus_NW_022882467.1:1-13289	451	False	4
bombus_vancouverensis_nearcticus_NW_022882294.1:4813-25670	452	True	4
bombus_vancouverensis_nearcticus_NW_022882295.1:1-16921	452	False	4
bombus_vancouverensis_nearcticus_NW_022882864.1:1359-14781	452	False	4
bombus_vancouverensis_nearcticus_NW_022882917.1:1-11603	452	False	4
bombus_vancouverensis_nearcticus_NW_022882666.1:9959-30816	455	True	4
bombus_vancouverensis_nearcticus_NW_022882666.1:21805-39612	455	False	4
bombus_vancouverensis_nearcticus_NW_022882666.1:1-18922	455	False	4
bombus_vancouverensis_nearcticus_NW_022882892.1:1-15959	455	False	4
bombus_vancouverensis_nearcticus_NW_022882833.1:212-21054	457	True	4
