Sequence,Location,Element Length,Strand,LTR-similarity,5'LTR_pos,5'LTR_length,3'LTR_pos,3'LTR_length,TSR,Sharpness,PPT
acromyrmex_echinatior_NW_011626403.1:1-9952,na,na,na,na,na,na,na,na,na,na,na
acromyrmex_echinatior_NW_011627030.1:469725-490867,na,na,na,na,na,na,na,na,na,na,na
acromyrmex_echinatior_NW_011627053.1:53271-74203,na,na,na,na,na,na,na,na,na,na,na
acromyrmex_echinatior_NW_011627112.1:209919-231037,na,na,na,na,na,na,na,na,na,na,na
acromyrmex_echinatior_NW_011627123.1:3723-24682,na,na,na,na,na,na,na,na,na,na,na
acromyrmex_echinatior_NW_011627221.1:23513-44472,na,na,na,na,na,na,na,na,na,na,na
acromyrmex_echinatior_NW_011627320.1:236047-257090,na,na,na,na,na,na,na,na,na,na,na
acromyrmex_echinatior_NW_011627401.1:58551-79537,na,na,na,na,na,na,na,na,na,na,na
acromyrmex_echinatior_NW_011627589.1:1-19477,na,na,na,na,na,na,na,na,na,na,na
acyrthosiphon_pisum_NC_042494.1:149706572-149728452,na,na,na,na,na,na,na,na,na,na,na
acyrthosiphon_pisum_NC_042495.1:22174253-22195647,na,na,na,na,na,na,na,na,na,na,na
acyrthosiphon_pisum_NC_042495.1:22191452-22213272,na,na,na,na,na,na,na,na,na,na,na
acyrthosiphon_pisum_NC_042495.1:29900340-29921752,na,na,na,na,na,na,na,na,na,na,na
acyrthosiphon_pisum_NW_021771311.1:84163-105947,na,na,na,na,na,na,na,na,na,na,na
acyrthosiphon_pisum_NW_021771402.1:1-16965,na,na,na,na,na,na,na,na,na,na,na
anopheles_stephensi_NC_050201.1:15748001-15769794,na,na,na,na,na,na,na,na,na,na,na
anopheles_stephensi_NC_050201.1:16357814-16379826,na,na,na,na,na,na,na,na,na,na,na
anopheles_stephensi_NC_050201.1:16377136-16398407,na,na,na,na,na,na,na,na,na,na,na
anopheles_stephensi_NC_050201.1:16521872-16543884,na,na,na,na,na,na,na,na,na,na,na
anopheles_stephensi_NC_050201.1:19895175-19917043,na,na,na,na,na,na,na,na,na,na,na
anopheles_stephensi_NC_050202.1:82482790-82504802,na,na,na,na,na,na,na,na,na,na,na
anopheles_stephensi_NC_050203.1:46573021-46594763,na,na,na,na,na,na,na,na,na,na,na
anopheles_stephensi_NC_050203.1:77813456-77835468,na,na,na,na,na,na,na,na,na,na,na
anopheles_stephensi_NW_023404986.1:42165-63907,na,na,na,na,na,na,na,na,na,na,na
anopheles_stephensi_NW_023405001.1:1-15558,na,na,na,na,na,na,na,na,na,na,na
anopheles_stephensi_NW_023405363.1:19663-41591,3564:12823, 9260,+,0.995,3564:4401,838,11988:12823,836,3559:3563/12824:12828,0.5/0.529,11973:11987
aphis_craccivora_VUJU01003749.1:1-20969,11:12262, 12252,+,0.901,11:352,342,11924:12262,339,7:10/12263:12266,1/0.414,11824:11838
aphis_craccivora_VUJU01008831.1:1-5991,na,na,na,na,na,na,na,na,na,na,na
aphis_craccivora_VUJU01008831.1:1-5991,na,na,na,na,na,na,na,na,na,na,na
aphis_craccivora_VUJU01012209.1:1-3236,na,na,na,na,na,na,na,na,na,na,na
aphis_craccivora_VUJU01013168.1:1-2721,na,na,na,na,na,na,na,na,na,na,na
aphis_craccivora_VUJU01014474.1:1-2162,na,na,na,na,na,na,na,na,na,na,na
aphis_craccivora_VUJU01015497.1:1-1805,na,na,na,na,na,na,na,na,na,na,na
aphis_craccivora_VUJU01017063.1:1-1263,na,na,na,na,na,na,na,na,na,na,na
aphis_glycines_VYZN01000008.1:2582231-2603742,na,na,na,na,na,na,na,na,na,na,na
aphis_glycines_VYZN01003027.1:13334-34851,na,na,na,na,na,na,na,na,na,na,na
aphis_gossypii_NW_021006118.1:1222-23162,na,na,na,na,na,na,na,na,na,na,na
bemisia_tabaci_NW_017547116.1:2545645-2567591,na,na,na,na,na,na,na,na,na,na,na
bemisia_tabaci_NW_017547118.1:1876453-1898399,na,na,na,na,na,na,na,na,na,na,na
bemisia_tabaci_NW_017547204.1:782040-803803,7275:19534, 12260,+,0.954,7275:7814,540,18994:19534,541,7271:7274/19535:19538,0.614/0.486,18941:18955
bemisia_tabaci_NW_017547507.1:1962803-1984740,na,na,na,na,na,na,na,na,na,na,na
bemisia_tabaci_NW_017547602.1:14156-35919,na,na,na,na,na,na,na,na,na,na,na
bemisia_tabaci_NW_017547915.1:1896286-1918223,na,na,na,na,na,na,na,na,na,na,na
bemisia_tabaci_NW_017548708.1:2458834-2480771,na,na,na,na,na,na,na,na,na,na,na
bemisia_tabaci_NW_017557114.1:1-16994,na,na,na,na,na,na,na,na,na,na,na
bemisia_tabaci_NW_017564154.1:1028221-1050095,7039:12620, 5582,-,0.995,7039:7260,222,12399:12620,222,7034:7038/12621:12625,0.571/0.557,7305:7319
bombus_bifarius_NW_022884553.1:3042-14469,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022884553.1:1-14469,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022884557.1:1-11513,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022884559.1:1-11488,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022884564.1:7354-22960,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022884582.1:1-14523,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022884599.1:75231-96088,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022884610.1:1-13567,na,na,na,na,na,na,na,na,na,na,na
bombus_bifarius_NW_022884641.1:271486-292208,na,na,na,na,na,na,na,na,na,na,na
