	YP_009333418.1/Nyamaviridae/RdRp/Beihai_berhavirus	YP_009333422.1/Nyamaviridae/RdRp/Echinoderm_berhavirus	YP_009666292.1/Nyamaviridae/RdRp/Sipunculid_berhavirus	YP_002905331.1/Nyamaviridae/RdRp/Midway_nyavirus	YP_002905337.1/Nyamaviridae/RdRp/Nyamanini_nyavirus	YP_009044201.1/Nyamaviridae/RdRp/Sierra_Nevada_nyavirus	YP_009666283.1/Nyamaviridae/RdRp/Orinoco_orinovirus	YP_009052467.1/Nyamaviridae/RdRp/Soybean_cyst_nematode_socyvirus	YP_009342311.1/Nyamaviridae/RdRp/Tapeworm_tapwovirus	YP_009333413.1/Nyamaviridae/RdRp/Beihai_crustavirus	YP_009304558.1/Nyamaviridae/RdRp/Wenzhou_crustavirus	YP_009336618.1/Nyamaviridae/RdRp/Wenling_crustavirus
YP_009333418.1/Nyamaviridae/RdRp/Beihai_berhavirus	1.0	0.4185	0.3282	0.259	0.2605	0.2617	0.2653	0.2391	0.2258	0.2005	0.2232	0.2354
YP_009333422.1/Nyamaviridae/RdRp/Echinoderm_berhavirus	0.4185	1.0	0.3377	0.2777	0.2786	0.2711	0.2724	0.2425	0.2312	0.2057	0.2144	0.2262
YP_009666292.1/Nyamaviridae/RdRp/Sipunculid_berhavirus	0.3282	0.3377	1.0	0.3065	0.3044	0.3099	0.2897	0.2753	0.2741	0.2296	0.2376	0.2487
YP_002905331.1/Nyamaviridae/RdRp/Midway_nyavirus	0.259	0.2777	0.3065	1.0	0.7801	0.6056	0.2936	0.2705	0.2578	0.2165	0.2224	0.2462
YP_002905337.1/Nyamaviridae/RdRp/Nyamanini_nyavirus	0.2605	0.2786	0.3044	0.7801	1.0	0.6075	0.2948	0.275	0.2552	0.2198	0.2301	0.2461
YP_009044201.1/Nyamaviridae/RdRp/Sierra_Nevada_nyavirus	0.2617	0.2711	0.3099	0.6056	0.6075	1.0	0.2864	0.2662	0.2515	0.2171	0.2295	0.2364
YP_009666283.1/Nyamaviridae/RdRp/Orinoco_orinovirus	0.2653	0.2724	0.2897	0.2936	0.2948	0.2864	1.0	0.2575	0.266	0.231	0.25	0.2445
YP_009052467.1/Nyamaviridae/RdRp/Soybean_cyst_nematode_socyvirus	0.2391	0.2425	0.2753	0.2705	0.275	0.2662	0.2575	1.0	0.2732	0.2134	0.2191	0.2288
YP_009342311.1/Nyamaviridae/RdRp/Tapeworm_tapwovirus	0.2258	0.2312	0.2741	0.2578	0.2552	0.2515	0.266	0.2732	1.0	0.2053	0.2235	0.227
YP_009333413.1/Nyamaviridae/RdRp/Beihai_crustavirus	0.2005	0.2057	0.2296	0.2165	0.2198	0.2171	0.231	0.2134	0.2053	1.0	0.4405	0.3295
YP_009304558.1/Nyamaviridae/RdRp/Wenzhou_crustavirus	0.2232	0.2144	0.2376	0.2224	0.2301	0.2295	0.25	0.2191	0.2235	0.4405	1.0	0.3506
YP_009336618.1/Nyamaviridae/RdRp/Wenling_crustavirus	0.2354	0.2262	0.2487	0.2462	0.2461	0.2364	0.2445	0.2288	0.227	0.3295	0.3506	1.0
