NCBI-Access,Taxonomy-Access,Organism,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
CAB0029507.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0029767.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0029860.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0032490.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0033660.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0035514.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0037869.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0039224.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0040206.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0040425.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0040669.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0040880.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0041317.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0042490.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0042576.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0043046.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0043203.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB0043227.1,86971,Trichogramma brassicae,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,unknown
CAB3262515.1,874455,Arctia plantaginis,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Arctia,unknown
CAC5365736.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5369234.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5370072.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
CAC5376587.1,42192,Mytilus coruscus,Eukaryota,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,unknown
