	YP_009055063.1/Bornaviridae/RdRp/Elapid_1_orthobornavirus	QRR19169.1/Bornaviridae/RdRp/Mammalian_1_orthobornavirus	ART29434.2/Bornaviridae/RdRp/Mammalian_2_orthobornavirus	YP_009041461.1/Bornaviridae/RdRp/Passeriform_1_orthobornavirus	YP_009505428.1/Bornaviridae/RdRp/Passeriform_2_orthobornavirus	YP_009268916.1/Bornaviridae/RdRp/Waterbird_1_orthobornavirus	QAT79259.1/Bornaviridae/RdRp/Psittaciform_2_orthobornavirus	BBL33066.1/Bornaviridae/RdRp/Psittaciform_1_orthobornavirus	YP_009508484.1/Bornaviridae/RdRp/Queensland_carbovirus	YP_009508490.1/Bornaviridae/RdRp/Southwest_carbovirus	AVM87541.1/Bornaviridae/RdRp/protein_Sharpbelly_cultervirus
YP_009055063.1/Bornaviridae/RdRp/Elapid_1_orthobornavirus	1.0	0.5784	0.5795	0.5737	0.6167	0.5789	0.5857	0.5773	0.3857	0.3849	0.3689
QRR19169.1/Bornaviridae/RdRp/Mammalian_1_orthobornavirus	0.5784	1.0	0.7463	0.6937	0.7311	0.7124	0.6924	0.6813	0.3829	0.3796	0.3788
ART29434.2/Bornaviridae/RdRp/Mammalian_2_orthobornavirus	0.5795	0.7463	1.0	0.6912	0.744	0.6978	0.6861	0.6731	0.3824	0.385	0.3781
YP_009041461.1/Bornaviridae/RdRp/Passeriform_1_orthobornavirus	0.5737	0.6937	0.6912	1.0	0.7907	0.7548	0.7195	0.6866	0.3825	0.3786	0.3717
YP_009505428.1/Bornaviridae/RdRp/Passeriform_2_orthobornavirus	0.6167	0.7311	0.744	0.7907	1.0	0.7858	0.7649	0.7118	0.4349	0.4293	0.4362
YP_009268916.1/Bornaviridae/RdRp/Waterbird_1_orthobornavirus	0.5789	0.7124	0.6978	0.7548	0.7858	1.0	0.7154	0.6901	0.3798	0.3777	0.3842
QAT79259.1/Bornaviridae/RdRp/Psittaciform_2_orthobornavirus	0.5857	0.6924	0.6861	0.7195	0.7649	0.7154	1.0	0.6753	0.3859	0.3863	0.3769
BBL33066.1/Bornaviridae/RdRp/Psittaciform_1_orthobornavirus	0.5773	0.6813	0.6731	0.6866	0.7118	0.6901	0.6753	1.0	0.3826	0.3922	0.3797
YP_009508484.1/Bornaviridae/RdRp/Queensland_carbovirus	0.3857	0.3829	0.3824	0.3825	0.4349	0.3798	0.3859	0.3826	1.0	0.7622	0.385
YP_009508490.1/Bornaviridae/RdRp/Southwest_carbovirus	0.3849	0.3796	0.385	0.3786	0.4293	0.3777	0.3863	0.3922	0.7622	1.0	0.388
AVM87541.1/Bornaviridae/RdRp/protein_Sharpbelly_cultervirus	0.3689	0.3788	0.3781	0.3717	0.4362	0.3842	0.3769	0.3797	0.385	0.388	1.0
