Sequence	Cluster	Representative	Copies
acromyrmex_echinatior_NW_011627030.1:469724-479724	0	True	1
acromyrmex_echinatior_NW_011627030.1:480867-490867	1	True	1
acromyrmex_echinatior_NW_011627053.1:53270-63270	2	True	1
acromyrmex_echinatior_NW_011627053.1:64203-74203	3	True	1
acromyrmex_echinatior_NW_011627112.1:209918-219918	4	True	1
acromyrmex_echinatior_NW_011627112.1:221037-231037	5	True	2
cinara_cedri_CABPRJ010001327.1:0-14	5	False	2
acromyrmex_echinatior_NW_011627123.1:3722-13722	6	True	1
acromyrmex_echinatior_NW_011627123.1:14682-24682	7	True	1
acromyrmex_echinatior_NW_011627221.1:23512-33512	8	True	1
acromyrmex_echinatior_NW_011627221.1:34472-44472	9	True	1
acromyrmex_echinatior_NW_011627320.1:236046-246046	10	True	1
acromyrmex_echinatior_NW_011627320.1:247090-257090	11	True	1
acromyrmex_echinatior_NW_011627401.1:58550-68550	12	True	1
acromyrmex_echinatior_NW_011627401.1:69537-79537	13	True	1
acromyrmex_echinatior_NW_011627589.1:9477-19477	14	True	1
acyrthosiphon_pisum_NC_042494.1:149706571-149716571	15	True	1
acyrthosiphon_pisum_NC_042494.1:149718452-149728452	16	True	1
acyrthosiphon_pisum_NC_042495.1:22174252-22184252	17	True	1
acyrthosiphon_pisum_NC_042495.1:22185647-22195647	18	True	1
acyrthosiphon_pisum_NC_042495.1:22191451-22201451	19	True	1
acyrthosiphon_pisum_NC_042495.1:22203272-22213272	20	True	1
acyrthosiphon_pisum_NC_042495.1:29900339-29910339	21	True	1
acyrthosiphon_pisum_NC_042495.1:29911752-29921752	22	True	1
acyrthosiphon_pisum_NW_021771311.1:84162-94162	23	True	1
acyrthosiphon_pisum_NW_021771311.1:95947-105947	24	True	1
acyrthosiphon_pisum_NW_021771402.1:6965-16965	25	True	1
anopheles_stephensi_NC_050201.1:15748000-15758000	26	True	1
anopheles_stephensi_NC_050201.1:15759794-15769794	27	True	1
anopheles_stephensi_NC_050201.1:16357813-16367813	28	True	2
anopheles_stephensi_NW_023405001.1:0-3545	28	False	2
anopheles_stephensi_NC_050201.1:16369826-16379826	29	True	1
anopheles_stephensi_NC_050201.1:16377135-16387135	30	True	1
anopheles_stephensi_NC_050201.1:16388407-16398407	31	True	1
anopheles_stephensi_NC_050201.1:16521871-16531871	32	True	1
anopheles_stephensi_NC_050201.1:16533884-16543884	33	True	1
anopheles_stephensi_NC_050201.1:19895174-19905174	34	True	1
anopheles_stephensi_NC_050201.1:19907043-19917043	35	True	1
anopheles_stephensi_NC_050202.1:82482789-82492789	36	True	1
anopheles_stephensi_NC_050202.1:82494802-82504802	37	True	1
anopheles_stephensi_NC_050203.1:46573020-46583020	38	True	1
anopheles_stephensi_NC_050203.1:46584763-46594763	39	True	1
anopheles_stephensi_NC_050203.1:77813455-77823455	40	True	1
anopheles_stephensi_NC_050203.1:77825468-77835468	41	True	1
anopheles_stephensi_NW_023404986.1:42164-52164	42	True	1
anopheles_stephensi_NW_023404986.1:53907-63907	43	True	1
anopheles_stephensi_NW_023405001.1:5558-15558	44	True	1
anopheles_stephensi_NW_023405363.1:19662-29662	45	True	1
anopheles_stephensi_NW_023405363.1:31591-41591	46	True	1
aphis_craccivora_VUJU01003749.1:10969-20969	47	True	1
aphis_glycines_VYZN01000008.1:2582230-2592230	48	True	1
aphis_glycines_VYZN01000008.1:2593742-2603742	49	True	1
aphis_glycines_VYZN01003027.1:13333-23333	50	True	1
aphis_glycines_VYZN01003027.1:24851-34851	51	True	1
aphis_craccivora_VUJU01015497.1:0-107	52	False	2
aphis_gossypii_NW_021006118.1:1221-11221	52	True	2
aphis_gossypii_NW_021006118.1:13162-23162	53	True	1
bemisia_tabaci_NW_017547116.1:2545644-2555644	54	True	1
bemisia_tabaci_NW_017547116.1:2557591-2567591	55	True	2
bemisia_tabaci_NW_017547118.1:1876452-1886452	55	False	2
bemisia_tabaci_NW_017547118.1:1888399-1898399	56	True	1
bemisia_tabaci_NW_017547204.1:782039-792039	57	True	1
bemisia_tabaci_NW_017547204.1:793803-803803	58	True	2
bemisia_tabaci_NW_017547602.1:25919-35919	58	False	2
bemisia_tabaci_NW_017547507.1:1962802-1972802	59	True	1
bemisia_tabaci_NW_017547507.1:1974740-1984740	60	True	1
bemisia_tabaci_NW_017547602.1:14155-24155	61	True	1
bemisia_tabaci_NW_017547915.1:1896285-1906285	62	True	1
bemisia_tabaci_NW_017547915.1:1908223-1918223	63	True	1
bemisia_tabaci_NW_017548708.1:2458833-2468833	64	True	1
bemisia_tabaci_NW_017548708.1:2470771-2480771	65	True	1
