Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >seq1	superfamily	237177	32	95	0.000234001	38991	cl36166	PRK12704 superfamily	C	 - 
Q#18 - >seq18	superfamily	407758	5	54	2.26631e-16	66775	cl39372	HTH_48 superfamily	 - 	 - 
Q#18 - >seq18	superfamily	419669	41	104	8.35506e-06	40.3592	cl21459	HTH superfamily	 - 	 - 
Q#20 - >seq20	superfamily	407758	41	89	3.25009e-13	58.3006	cl39372	HTH_48 superfamily	 - 	 - 
Q#21 - >seq21	superfamily	419726	63	101	2.76588e-08	48.4485	cl21549	rve superfamily	N	 - 
Q#26 - >seq26	superfamily	407767	24	118	5.62659e-40	129162	cl39037	RT_RNaseH superfamily	 - 	 - 
Q#28 - >seq28	superfamily	407758	40	84	1.2297e-05	39.8111	cl39372	HTH_48 superfamily	 - 	 - 
Q#46 - >seq46	superfamily	365784	9	64	0.00149047	37.2274	cl38908	BTB_POZ superfamily	C	 - 
Q#48 - >seq48	superfamily	416259	32	103	1.39444e-23	88.4475	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#54 - >seq54	superfamily	413489	314	495	2.76897e-80	262146	cl02808	RT_like superfamily	 - 	 - 
Q#54 - >seq54	superfamily	417494	589	708	5.01968e-60	201567	cl14782	RNase_H_like superfamily	 - 	 - 
Q#54 - >seq54	superfamily	407771	944	1001	7.30126e-20	84621	cl39036	Integrase_H2C2 superfamily	 - 	 - 
Q#54 - >seq54	superfamily	411202	998	1156	2.10653e-09	60.6824	cl41329	transpos_IS481 superfamily	N	 - 
Q#54 - >seq54	superfamily	412115	861	927	3.42111e-06	48.4024	cl00019	Macro_SF superfamily	N	 - 
Q#54 - >seq54	superfamily	416259	3	83	0.0042347	38.3224	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#55 - >seq55	superfamily	276097	7	134	7.60975e-54	171346	cl14874	Luminal_IRE1_like superfamily	C	 - 
Q#57 - >seq57	superfamily	419665	2	98	2.07316e-52	164753	cl21453	PKc_like superfamily	C	 - 
Q#59 - >seq59	superfamily	407767	16	72	1.02892e-18	74.0789	cl39037	RT_RNaseH superfamily	C	 - 
Q#61 - >seq61	superfamily	407771	12	38	0.000351187	36.0858	cl39036	Integrase_H2C2 superfamily	N	 - 
Q#67 - >seq67	superfamily	407769	8	102	3.50867e-46	143785	cl39038	RT_RNaseH_2 superfamily	 - 	 - 
Q#82 - >seq82	superfamily	421697	7	38	2.33505e-05	41.1476	cl28914	CD_CSD superfamily	C	 - 
Q#100 - >seq100	superfamily	413489	2	54	4.63825e-14	65.3093	cl02808	RT_like superfamily	N	 - 
Q#108 - >seq108	superfamily	419726	196	271	8.79282e-19	80.0348	cl21549	rve superfamily	 - 	 - 
Q#108 - >seq108	superfamily	411180	36	349	7.77819e-08	53.0279	cl41314	transpos_IS630 superfamily	 - 	 - 
Q#111 - >seq111	superfamily	413489	60	93	1.61847e-05	41.4269	cl02808	RT_like superfamily	C	 - 
Q#112 - >seq112	superfamily	407769	33	88	8.57971e-14	61.3518	cl39038	RT_RNaseH_2 superfamily	C	 - 
Q#113 - >seq113	superfamily	417494	3	24	0.000253805	38.2425	cl14782	RNase_H_like superfamily	N	 - 
Q#127 - >seq127	superfamily	417311	2	42	6.11536e-08	50349	cl13764	ASH superfamily	N	 - 
Q#136 - >seq136	superfamily	214739	47	83	6.35466e-06	41.3221	cl02692	ZnF_TTF superfamily	C	 - 
Q#137 - >seq137	superfamily	399013	37	92	3.58518e-07	44.5597	cl05324	Dimer_Tnp_hAT superfamily	N	 - 
Q#143 - >seq143	superfamily	417494	211	329	7.38527e-44	154188	cl14782	RNase_H_like superfamily	 - 	 - 
Q#143 - >seq143	superfamily	413489	1	113	6.42459e-35	130793	cl02808	RT_like superfamily	N	 - 
