Sequence	LTR5	LTR3	TSR	PPT	pos_gag	pos_protease	pos_rnase	pos_rt	pos_integrase	pos_transposase
acromyrmex_echinatior_NW_011627030.1:469725-490867	NA	NA	NA	NA	NA	NA	NA	NA	15688-15206	NA
acromyrmex_echinatior_NW_011627053.1:53271-74203	NA	NA	NA	NA	NA	NA	7259-7645	7259-7645	NA	NA
acromyrmex_echinatior_NW_011627112.1:209919-231037	NA	NA	NA	NA	NA	19025-19552, 14941-9185	14941-9185	14941-9185	14941-9185	14941-9185
acromyrmex_echinatior_NW_011627123.1:3723-24682	NA	NA	NA	NA	NA	NA	1913-2218	1913-2218	3428-3814	NA
acromyrmex_echinatior_NW_011627221.1:23513-44472	NA	NA	NA	NA	NA	NA	5869-6198	5869-6198	NA	NA
acromyrmex_echinatior_NW_011627320.1:236047-257090	NA	NA	NA	NA	NA	NA	NA	6952-7395	5991-4855	5991-4855
acromyrmex_echinatior_NW_011627401.1:58551-79537	NA	NA	NA	NA	NA	NA	13602-13288, 13130-12726	14323-13991, 13602-13288	NA	NA
acyrthosiphon_pisum_NC_042494.1:149706572-149728452	NA	NA	NA	NA	NA	NA	NA	NA	NA	20729-20382
acyrthosiphon_pisum_NC_042495.1:22174253-22195647	NA	NA	NA	NA	NA	NA	7539-9914	7539-9914	7539-9914	NA
acyrthosiphon_pisum_NC_042495.1:22191452-22213272	NA	NA	NA	NA	NA	5469-5984	7875-9941	7355-7888	7875-9941	NA
acyrthosiphon_pisum_NW_021771311.1:84163-105947	NA	NA	NA	NA	17650-16313	16283-15135	14215-11891	15220-14228, 14215-11891	14215-11891	NA
acyrthosiphon_pisum_NW_021771402.1:1-16965	NA	NA	NA	NA	NA	NA	NA	2807-3211	NA	NA
anopheles_stephensi_NC_050201.1:15748001-15769794	NA	NA	NA	NA	NA	6244-7164	NA	NA	NA	2198-2539, 7577-8137
anopheles_stephensi_NC_050201.1:16357814-16379826	NA	NA	NA	NA	4499-7393	7240-9465	NA	4499-7393, 20853-20260	7240-9465	NA
anopheles_stephensi_NC_050201.1:16377136-16398407	NA	NA	NA	NA	NA	NA	17881-14909	17881-14909, 6154-5435, 1531-938	9257-8892	9058-8546
anopheles_stephensi_NC_050201.1:16521872-16543884	NA	NA	NA	NA	14851-10001	NA	NA	NA	NA	NA
