order,family,specie,sequence,class/family,begin,end
Hymenoptera,Apidae,Eufriesea mexicana,NW_016907970.1:271391-281391,Simple_repeat,61,97
Hymenoptera,Apidae,Eufriesea mexicana,NW_016907970.1:271391-281391,LTR/Gypsy,3070,3405
Hymenoptera,Apidae,Eufriesea mexicana,NW_016907970.1:271391-281391,LTR/Gypsy,3736,3975
Hymenoptera,Apidae,Eufriesea mexicana,NW_016907970.1:271391-281391,LTR/Gypsy,4024,4444
Hymenoptera,Apidae,Eufriesea mexicana,NW_016907970.1:271391-281391,Simple_repeat,5984,6033
Hymenoptera,Apidae,Eufriesea mexicana,NW_016907970.1:271391-281391,LTR/Gypsy,6316,6433
Hymenoptera,Apidae,Eufriesea mexicana,NW_016907970.1:271391-281391,LTR/Gypsy,6939,7057
Hymenoptera,Apidae,Eufriesea mexicana,NW_016907970.1:282669-292669,Simple_repeat,2532,2553
Hymenoptera,Apidae,Eufriesea mexicana,NW_016907970.1:282669-292669,LTR/Gypsy,4472,5640
Hymenoptera,Apidae,Eufriesea mexicana,NW_016907970.1:282669-292669,Simple_repeat,9220,9241
Hymenoptera,Apidae,Eufriesea mexicana,NW_016907970.1:282669-292669,LTR/Gypsy,9736,9949
Hymenoptera,Apidae,Eufriesea mexicana,NW_016908258.1:109551-119551,LINE/I-Jockey,733,955
Hymenoptera,Apidae,Eufriesea mexicana,NW_016908258.1:109551-119551,LINE/I-Jockey,1540,2071
Hymenoptera,Apidae,Eufriesea mexicana,NW_016908258.1:109551-119551,LTR/Gypsy,3456,3566
Hymenoptera,Apidae,Eufriesea mexicana,NW_016908258.1:109551-119551,Simple_repeat,8791,8839
Hymenoptera,Apidae,Eufriesea mexicana,NW_016908258.1:98345-108345,LINE/R1,2734,3076
Hymenoptera,Apidae,Eufriesea mexicana,NW_016908258.1:98345-108345,Simple_repeat,5954,5989
Hymenoptera,Apidae,Eufriesea mexicana,NW_016908258.1:98345-108345,Simple_repeat,7630,7670
Hymenoptera,Apidae,Eufriesea mexicana,NW_016908258.1:98345-108345,Simple_repeat,7671,7710
